strattype,stratvol,donorsex
current,475,1
current,475,2
A.2,475,1
A.1,475,2
A.2,475,2
B.1,475,2
B.2,475,2
C.1,415,2
C.1,445,2
C.2,415,2
C.2,445,2
C.3,405,1
C.3,435,1
C.3,465,1
C.4,405,1
C.4,435,1
C.4,465,1
C.3,405,2
C.3,435,2
C.3,465,2
C.4,405,2
C.4,435,2
C.4,465,2
D.1,0,2
D.2,0,1
D.2,0,2
D.3,0,1
D.3,0,2
D.4,0,1
D.4,0,2
E.1,0,1
E.1,0,2
E.2,0,1
E.2,0,2
E.3,0,1
E.3,0,2
E.4,0,1
E.4,0,2
E.4_new,0,1
E.4_vvrhist,0,1
E.4_new,0,2
E.4_vvrhist,0,2
F.20.475,0,1
F.20.495,0,1
F.26.475,0,1
F.26.495,0,1
F.20.475,0,2
F.20.495,0,2
F.26.475,0,2
F.26.495,0,2
